,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
72,"Without Me",Eminem,1152836,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
73,"No Role Modelz","J. Cole",1151266,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
74,Softcore,"The Neighbourhood",1148182,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
75,Butter,BTS,1139727,https://open.spotify.com/track/1mWdTewIgB3gtBM3TOSFhB
76,"she's all i wanna be","Tate McRae",1139467,https://open.spotify.com/track/0IuVhCflrQPMGRrOyoY5RW
77,"Do It To It",ACRAZE,1137470,https://open.spotify.com/track/20on25jryn53hWghthWWW3
78,"LOVE DIVE",IVE,1133433,https://open.spotify.com/track/0Q5VnK2DYzRyfqQRJuUtvi
79,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1129308,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
80,Medallo,Blessd,1123589,https://open.spotify.com/track/6lX6l7OuA3qrnIRfdsr0dw
81,"Yo Voy (feat. Daddy Yankee)","Zion & Lennox",1119390,https://open.spotify.com/track/5gflgO9EPbIBf16n5TKnQS
82,ZOOM,Jessi,1115733,https://open.spotify.com/track/4IaxDf2FixiQXq0mW7key9
83,"lovely (with Khalid)","Billie Eilish",1106412,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
84,DÁKITI,"Bad Bunny",1105127,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
85,"Demasiadas Mujeres","C. Tangana",1098059,https://open.spotify.com/track/3GaGWoU1KfVqgl7vnRHP55
86,"Si Quieren Frontear",Duki,1077209,https://open.spotify.com/track/6bQ5823aHmFVKLZW8E7rRo
87,Yellow,Coldplay,1075732,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
88,"TUS LÁGRIMAS",Mora,1063640,https://open.spotify.com/track/30W8VKHrAZmHzObnwAoc1u
89,Believer,"Imagine Dragons",1061550,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
90,"Cool for the Summer","Demi Lovato",1058351,https://open.spotify.com/track/3uwnnTQcHM1rDqSfA4gQNz
91,"One Right Now (with The Weeknd)","Post Malone",1054546,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
92,"Don't Start Now","Dua Lipa",1051160,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
93,Pasoori,"Shae Gill",1050753,https://open.spotify.com/track/7lvDsmTRXFE3dK4OjvRiWB
94,"Adore You","Harry Styles",1050303,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
95,"A Tu Merced","Bad Bunny",1034236,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
96,Payphone,"Maroon 5",1031380,https://open.spotify.com/track/1XGmzt0PVuFgQYYnV2It7A
97,"In My Head","Lil Tjay",1024901,https://open.spotify.com/track/1HvTxgCj0mTzQlEo0zLvFb
98,"Todo De Ti","Rauw Alejandro",1024271,https://open.spotify.com/track/3rdAz1fbUfZxYgaCviYhRo
99,Beggin',Måneskin,1012714,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
100,"Mon Amour - Remix",zzoilo,1011687,https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R
101,Dynamite,BTS,1002793,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
102,"The Real Slim Shady",Eminem,997752,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
103,"Someone You Loved","Lewis Capaldi",992717,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
104,"Dark Red","Steve Lacy",989536,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
105,"Tacones Rojos","Sebastian Yatra",984503,https://open.spotify.com/track/6ylDpki1VpIsc525KC1ojF
106,"Counting Stars",OneRepublic,979834,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
107,"10 Things I Hate About You","Leah Kate",976991,https://open.spotify.com/track/6Jkm5kUldvIqxzI1Pa7nXH
108,Toxic,BoyWithUke,971988,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
109,"Blank Space","Taylor Swift",963842,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
110,"LA CANCIÓN","J Balvin",960794,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
111,Lost,"Frank Ocean",958545,https://open.spotify.com/track/3GZD6HmiNUhxXYf8Gch723
112,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",958053,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
113,"Oh My God",Adele,953605,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
114,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,951281,https://open.spotify.com/track/1v7L65Lzy0j0vdpRjJewt1
115,Starlight,Dave,950497,https://open.spotify.com/track/531KGXtBroSrOX9LVmiIgc
116,Unstoppable,Sia,950239,https://open.spotify.com/track/2J2Z1SkXYghSajLibnQHOa
117,"Smells Like Teen Spirit - Remastered",Nirvana,942434,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
118,"Bohemian Rhapsody - Remastered 2011",Queen,938945,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
119,"love nwantiti (ah ah ah)",CKay,931035,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
120,"San Lucas","Kevin Kaarl",930563,https://open.spotify.com/track/75UMtPC77vqKRwfSuYuNPO
121,"You Right","Doja Cat",929594,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
122,"Locked out of Heaven","Bruno Mars",923833,https://open.spotify.com/track/5g7sDjBhZ4I3gcFIpkrLuI
123,"Something In The Way - Remastered",Nirvana,918671,https://open.spotify.com/track/2WL6GQzPuK9Nrpy9XwNEbz
124,Falling,"Harry Styles",917219,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
125,"Leave The Door Open","Bruno Mars",913743,https://open.spotify.com/track/02VBYrHfVwfEWXk5DXyf0T
126,Revenge,XXXTENTACION,911272,https://open.spotify.com/track/5TXDeTFVRVY7Cvt0Dw4vWW
127,"Numb Little Bug","Em Beihold",908656,https://open.spotify.com/track/3o9kpgkIcffx0iSwxhuNI2
128,"Shape of You","Ed Sheeran",905613,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
129,"Sweetest Pie","Megan Thee Stallion",905259,https://open.spotify.com/track/7mFj0LlWtEJaEigguaWqYh
130,happier,"Olivia Rodrigo",894410,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
131,Volví,Aventura,891513,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
132,"Daddy Issues","The Neighbourhood",890674,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
133,"La Santa","Bad Bunny",889629,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
134,712PM,Future,887268,https://open.spotify.com/track/3FSwpQ9dBZBeBV6UdYHI2R
135,"Die For You","The Weeknd",884363,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
136,Iris,"The Goo Goo Dolls",883430,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs
137,"Mr. Brightside","The Killers",881440,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
138,Heather,"Conan Gray",880940,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
139,"The Nights",Avicii,877192,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
140,"favorite crime","Olivia Rodrigo",877051,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
141,"Nail Tech","Jack Harlow",875811,https://open.spotify.com/track/62Yo3FDddWY8ydu6PW2wyz
142,"There's Nothing Holdin' Me Back","Shawn Mendes",873658,https://open.spotify.com/track/7JJmb5XwzOO8jgpou264Ml
143,"jealousy, jealousy","Olivia Rodrigo",872383,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
144,"'Till I Collapse",Eminem,867618,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
145,"After Dark",Mr.Kitty,866664,https://open.spotify.com/track/0zCgWGmDF0aih5qexATyBn
146,Notion,"The Rare Occasions",863143,https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4
147,"2step (feat. Lil Baby)","Ed Sheeran",862518,https://open.spotify.com/track/2UN0lp72LAusrXi8LLVomt
148,Riptide,"Vance Joy",861173,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
149,"Tiago PZK: Bzrp Music Sessions, Vol. 48",Bizarrap,858155,https://open.spotify.com/track/2Gq636OOGgxCTqEuzCZhsa
150,Perfect,"Ed Sheeran",856740,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
151,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",850440,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
