Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y
Away,BALL OUT,,1,12636,505.44,12702,508.08,Player21,,0.01,0.95,-0.03,0.34
Away,RECOVERY,INTERCEPTION,1,13701,548.04,13701,548.04,Player17,,0.57,0.86,,
Away,BALL LOST,,1,13701,548.04,13736,549.44,Player17,,0.57,0.86,0.48,0.82
Away,RECOVERY,INTERCEPTION,1,13766,550.64,13766,550.64,Player15,,0.64,0.55,,
Away,BALL LOST,,1,13766,550.64,13814,552.56,Player15,,0.64,0.55,0.76,0.52
Away,CHALLENGE,TACKLE-WON,1,13844,553.76,13844,553.76,Player16,,0.81,0.53,,
Away,RECOVERY,THEFT,1,13844,553.76,13844,553.76,Player16,,0.81,0.53,,
Away,BALL OUT,CLEARANCE,1,13886,555.44,13987,559.48,Player16,,0.89,0.48,0.96,-0.04
Away,RECOVERY,INTERCEPTION,1,14741,589.64,14741,589.64,Player21,,0.93,0.39,,
Away,PASS,,1,14772,590.88,14793,591.72,Player21,Player19,0.91,0.35,0.83,0.31
Away,PASS,,1,14793,591.72,14815,592.6,Player19,Player16,0.83,0.31,0.92,0.37
Away,PASS,,1,14834,593.36,14870,594.8,Player16,Player21,0.91,0.35,0.8,0.12
Away,PASS,,1,14870,594.8,14890,595.6,Player21,Player18,0.8,0.12,0.83,0.13
Away,PASS,,1,14890,595.6,14924,596.96,Player18,Player24,0.83,0.13,0.59,0.12
Away,BALL LOST,,1,14967,598.68,15046,601.84,Player24,,0.58,0.04,0.31,0.06
Away,CHALLENGE,AERIAL-WON,1,15222,608.88,15222,608.88,Player17,,0.54,0.84,,
Away,RECOVERY,INTERCEPTION,1,15222,608.88,15222,608.88,Player17,,0.54,0.84,,
Away,BALL LOST,HEAD,1,15222,608.88,15270,610.8,Player17,,0.54,0.84,0.39,0.91
Away,RECOVERY,INTERCEPTION,1,15300,612.0,15300,612.0,Player22,,0.46,0.98,,
Away,BALL LOST,,1,15300,612.0,15336,613.44,Player22,,0.46,0.98,0.57,0.91
Away,RECOVERY,,1,15462,618.48,15462,618.48,Player16,,0.79,0.71,,
Away,PASS,,1,15473,618.92,15521,620.84,Player16,Player25,0.8,0.71,0.94,0.61
Away,BALL LOST,,1,15521,620.84,15646,625.84,Player25,,0.94,0.61,0.44,0.34
Away,CHALLENGE,GROUND-FAULT-LOST,1,15690,627.6,15690,627.6,Player24,,0.4,0.46,,
Away,RECOVERY,INTERCEPTION,1,16471,658.84,16471,658.84,Player15,,0.8,0.13,,
